,Week,Rank,Fantasy
0,1,31,23.1
1,2,7,25.4
2,3,14,23.4
3,4,28,16.6
4,5,17,8.7
5,6,15,19.9
6,7,27,11.9
7,8,12,7
8,9,14,6.9
9,10,19,25
10,11,22,27.1
11,12,27,35.5
12,13,25,31.6
13,14,6,12
14,15,30,8.3
15,16,17,31.2
16,1,32,21.9
17,2,20,9
18,3,29,23.6
19,4,17,35.7
20,5,15,7.7
21,6,28,21.6
22,7,6,30.1
23,8,14,13.3
24,9,24,20.4
25,10,18,14.5
26,11,4,5.9
27,12,15,45.1
28,13,6,13.9
29,14,27,18.3
30,15,28,15.7
31,16,23,8.5
32,1,2,20
33,2,13,8.6
34,3,10,15.4
35,4,6,9.9
36,6,9,26
37,7,32,9.2
38,8,7,11.1
39,9,20,8.6
40,10,16,21.3
41,11,19,7.2
42,12,3,14.3
43,13,7,17.9
44,14,17,11.7
45,15,9,20.8
46,16,20,18
47,1,14,33.8
48,2,30,3
49,3,15,10.8
50,4,25,14.9
51,5,6,16.5
52,6,20,27
53,7,4,13.7
54,8,31,17.6
55,9,17,6.5
56,10,28,16.4
57,11,14,18.6
58,12,4,23.8
59,13,17,6
60,14,22,24.4
61,15,12,3.7
62,16,32,6
63,1,1,12.1
64,2,12,24.7
65,3,25,6.7
66,4,31,18.8
67,5,16,26.3
68,7,18,23.4
69,8,8,33.1
70,9,5,22.5
71,10,8,7.3
72,12,1,16.6
73,13,19,29.7
74,14,30,15.6
75,15,32,2.6
76,16,5,12.7
77,1,22,3.2
78,2,10,17.5
79,3,8,8.1
80,4,1,5.9
81,5,7,30.5
82,6,16,13.6
83,7,11,19.8
84,8,20,9.2
85,9,19,13
86,10,10,11
87,11,16,18.5
88,12,19,15.8
89,13,5,8.5
90,14,9,5.9
91,16,27,6.2
92,1,10,38.1
93,2,9,11.6
94,3,17,35.8
95,4,4,17.5
96,5,14,35.3
97,6,22,21.9
98,7,15,33.1
99,8,6,24.4
100,9,18,11.6
101,10,27,18.7
102,11,23,48.7
103,12,29,28.9
104,13,24,26.8
105,14,15,18.3
106,1,5,9.7
107,2,1,9.1
108,3,15,13.9
109,4,10,19.3
110,5,7,24.6
111,6,9,11
112,7,16,6.4
113,8,8,5.9
114,9,32,25.5
115,10,4,7.3
116,11,11,8.8
117,12,32,12.5
118,14,20,6.1
119,15,10,10.3
120,16,16,10.9
121,1,18,12.6
122,2,24,11
123,3,23,10.9
124,4,29,14.3
125,5,13,12.3
126,6,8,8.9
127,7,2,17.1
128,8,9,28.3
