,Year,Name,URLName
0,2002.0,Ricky Williams,WillRi00
1,2002.0,LaDainian Tomlinson,TomlLa00
2,2002.0,Eddie George,GeorEd00
3,2002.0,Travis Henry ,HenrTr00
4,2002.0,Deuce McAllister,McAlDe00
5,2002.0,Corey Dillon,DillCo00
6,2002.0,Priest Holmes,HolmPr00
7,2002.0,Jamal Lewis,LewiJa00
8,2002.0,Tiki Barber,BarbTi00
9,2002.0,Shaun Alexander ,AlexSh00
10,2002.0,Fred Taylor,TaylFr00
11,2002.0,Ahman Green,GreeAh00
12,2002.0,Edgerrin James,JameEd00
13,2002.0,Clinton Portis,PortCl00
14,2002.0,Duce Staley,StalDu00
15,2002.0,Curtis Martin ,MartCu00
16,2002.0,Michael Bennett,BennMi00
17,2002.0,Emmitt Smith ,SmitEm00
18,2002.0,Antowain Smith,SmitAn00
19,2002.0,William Green,GreeWi00
20,2002.0,James Stewart,StewJa00
21,2002.0,Warrick Dunn,DunnWa00
22,2002.0,Garrison Hearst,HearGa00
23,2002.0,Anthony Thomas,ThomAn00
24,2002.0,Marshall Faulk,FaulMa00
25,2002.0,Lamar Smith,SmitLa00
26,2002.0,Stephen Davis ,DaviSt00
27,2002.0,Michael Pittman,PittMi00
28,2002.0,Jonathan Wells,WellJo00
29,2002.0,Amos Zereoue,ZereAm00
30,2002.0,Marcel Shipp,ShipMa00
31,2002.0,Jerome Bettis,BettJe00
32,2003.0,Ricky Williams,WillRi00
33,2003.0,Jamal Lewis,LewiJa00
34,2003.0,Ahman Green,GreeAh00
35,2003.0,Deuce McAllister,McAlDe00
36,2003.0,Fred Taylor,TaylFr00
37,2003.0,Travis Henry ,HenrTr00
38,2003.0,Shaun Alexander ,AlexSh00
39,2003.0,Curtis Martin ,MartCu00
40,2003.0,Priest Holmes,HolmPr00
41,2003.0,Stephen Davis ,DaviSt00
42,2003.0,LaDainian Tomlinson,TomlLa00
43,2003.0,Eddie George,GeorEd00
44,2003.0,Edgerrin James,JameEd00
45,2003.0,Clinton Portis,PortCl00
46,2003.0,Tiki Barber,BarbTi00
47,2003.0,Troy Hambrick,HambTr00
48,2003.0,Jerome Bettis,BettJe00
49,2003.0,Anthony Thomas,ThomAn00
50,2003.0,Domanick Williams,WillDo00
