,Week,Opponent,Rank,Fantasy
0,1,DET,31,23.1
1,2,IND,7,25.4
2,3,NYJ,14,23.4
3,4,KAN,28,16.6
4,5,NWE,17,8.7
5,6,DEN,15,19.9
6,7,BUF,27,11.9
7,8,GNB,12,7
8,9,NYJ,14,6.9
9,10,BAL,19,25
10,11,SDG,22,27.1
11,12,BUF,27,35.5
12,13,CHI,25,31.6
13,14,OAK,6,12
14,15,MIN,30,8.3
15,16,NWE,17,31.2
16,1,CIN,32,21.9
17,2,HOU,20,9
18,3,ARI,29,23.6
19,4,NWE,17,35.7
20,5,DEN,15,7.7
21,6,KAN,28,21.6
22,7,OAK,6,30.1
23,8,NYJ,14,13.3
24,9,STL,24,20.4
25,10,SFO,18,14.5
26,11,MIA,4,5.9
27,12,DEN,15,45.1
28,13,OAK,6,13.9
29,14,BUF,27,18.3
30,15,KAN,28,15.7
31,16,SEA,23,8.5
32,1,PHI,2,20
33,2,DAL,13,8.6
34,3,CLE,10,15.4
35,4,OAK,6,9.9
36,6,JAX,9,26
37,7,CIN,32,9.2
38,8,IND,7,11.1
39,9,HOU,20,8.6
40,10,PIT,16,21.3
41,11,BAL,19,7.2
42,12,NYG,3,14.3
43,13,IND,7,17.9
44,14,NWE,17,11.7
45,15,JAX,9,20.8
46,16,HOU,20,18
47,1,NYJ,14,33.8
48,2,MIN,30,3
49,3,DEN,15,10.8
50,4,CHI,25,14.9
51,5,OAK,6,16.5
52,6,HOU,20,27
53,7,MIA,4,13.7
54,8,DET,31,17.6
55,9,NWE,17,6.5
56,10,KAN,28,16.4
57,11,NYJ,14,18.6
58,12,MIA,4,23.8
59,13,NWE,17,6
60,14,SDG,22,24.4
61,15,GNB,12,3.7
62,16,CIN,32,6
63,1,TAM,1,12.1
64,2,GNB,12,24.7
65,3,CHI,25,6.7
66,4,DET,31,18.8
67,5,PIT,16,26.3
68,7,SFO,18,23.4
69,8,ATL,8,33.1
70,9,CAR,5,22.5
71,10,ATL,8,7.3
72,12,TAM,1,16.6
73,13,BAL,19,29.7
74,14,MIN,30,15.6
75,15,CIN,32,2.6
76,16,CAR,5,12.7
77,1,SDG,22,3.2
78,2,CLE,10,17.5
79,3,ATL,8,8.1
80,4,TAM,1,5.9
81,5,IND,7,30.5
82,6,PIT,16,13.6
83,7,TEN,11,19.8
84,8,HOU,20,9.2
85,9,BAL,19,13
86,10,CLE,10,11
87,11,PIT,16,18.5
88,12,BAL,19,15.8
89,13,CAR,5,8.5
90,14,JAX,9,5.9
91,16,BUF,27,6.2
92,1,CLE,10,38.1
93,2,JAX,9,11.6
94,3,NWE,17,35.8
95,4,MIA,4,17.5
96,5,NYJ,14,35.3
97,6,SDG,22,21.9
98,7,DEN,15,33.1
99,8,OAK,6,24.4
100,9,SFO,18,11.6
101,10,BUF,27,18.7
102,11,SEA,23,48.7
103,12,ARI,29,28.9
104,13,STL,24,26.8
105,14,DEN,15,18.3
106,1,CAR,5,9.7
107,2,TAM,1,9.1
108,3,DEN,15,13.9
109,4,CLE,10,19.3
110,5,IND,7,24.6
111,6,JAX,9,11
112,7,PIT,16,6.4
113,8,ATL,8,5.9
114,9,CIN,32,25.5
115,10,MIA,4,7.3
116,11,TEN,11,8.8
117,12,CIN,32,12.5
118,14,HOU,20,6.1
119,15,CLE,10,10.3
120,16,PIT,16,10.9
121,1,SFO,18,12.6
122,2,STL,24,11
123,3,SEA,23,10.9
124,4,ARI,29,14.3
125,5,DAL,13,12.3
126,6,ATL,8,8.9
127,7,PHI,2,17.1
128,8,JAX,9,28.3
129,9,MIN,30,23.3
130,11,HOU,20,20.7
131,12,TEN,11,12.6
132,14,DAL,13,19.2
133,15,IND,7,16.5
134,16,PHI,2,21.6
135,1,OAK,6,13.2
136,2,ARI,29,8.3
137,3,NYG,3,4.5
138,4,MIN,30,53.1
139,5,SFO,18,18.1
140,6,STL,24,4.6
141,7,DAL,13,21.6
142,9,ARI,29,16.4
143,10,DEN,15,4.1
144,11,KAN,28,27.1
145,12,SFO,18,15.1
146,13,PHI,2,13.1
147,14,ATL,8,24.2
148,15,STL,24,20.5
149,16,SDG,22,14.1
150,1,IND,7,17.8
151,2,KAN,28,19.9
152,3,NYJ,14,29.7
153,4,PHI,2,8.3
154,5,TEN,11,6.4
155,6,BAL,19,25.7
156,7,HOU,20,10.6
157,8,NYG,3,0.9
158,10,HOU,20,5.6
159,11,DAL,13,10.9
160,12,PIT,16,15.3
161,13,CLE,10,21.7
162,14,CIN,32,13.4
163,15,TEN,11,2.4
164,16,IND,7,14.7
165,1,ATL,8,17.7
166,4,CAR,5,8.1
167,5,CHI,25,12.8
168,6,NWE,17,27.7
169,8,MIA,4,26.3
170,9,DET,31,7
171,10,MIN,30,16.9
172,11,TAM,1,9.6
173,12,CHI,25,12.3
174,14,SFO,18,15
175,15,BUF,27,13.3
176,16,NYJ,14,7.2
177,1,JAX,9,9
178,2,MIA,4,22
179,3,HOU,20,11.7
180,4,CIN,32,13
181,5,BAL,19,5.1
182,6,PIT,16,14.5
183,10,DAL,13,11.2
184,11,DEN,15,17.5
185,12,HOU,20,6.5
186,13,TEN,11,9.5
187,14,CLE,10,6.2
188,15,NYG,3,1.5
189,16,JAX,9,9.9
190,1,STL,24,3.4
191,2,SFO,18,1.2
192,3,BUF,27,16.7
193,4,BAL,19,8.5
194,5,SDG,22,17.9
195,6,MIA,4,14.2
196,7,KAN,28,12.4
197,8,NWE,17,23.1
198,9,OAK,6,13.6
199,10,SEA,23,18.8
200,11,IND,7,20.8
201,12,SDG,22,31.3
202,13,NYJ,14,12.5
203,14,KAN,28,40.5
204,15,OAK,6,11.7
205,16,ARI,29,36.6
206,1,TEN,11,12.5
207,3,DAL,13,6.5
208,4,HOU,20,19.2
209,5,JAX,9,13.7
210,6,TAM,1,16.4
211,7,NYG,3,16.3
212,8,CHI,25,5.8
213,9,IND,7,5.4
214,10,ARI,29,27.7
215,11,SFO,18,6.7
216,12,STL,24,5.4
217,13,SEA,23,16.6
218,15,DAL,13,14.3
219,16,NYG,3,6.7
220,1,BUF,27,4.1
221,2,NWE,17,2
222,3,MIA,4,6.3
223,4,JAX,9,4.4
224,5,KAN,28,22.4
225,6,MIN,30,16.2
226,7,CLE,10,10.4
227,8,SDG,22,13.1
228,9,MIA,4,15.2
229,10,DET,31,14
230,11,BUF,27,19.8
231,12,OAK,6,3.7
232,13,DEN,15,12.6
233,14,CHI,25,16
234,15,NWE,17,10.9
235,16,GNB,12,18.5
236,1,CHI,25,5.3
237,2,BUF,27,4.5
238,3,CAR,5,9.6
239,4,SEA,23,13.5
240,5,DET,31,19.8
241,6,NYJ,14,3.6
242,7,CHI,25,13.6
243,8,TAM,1,20.1
244,9,NYG,3,23.6
245,10,GNB,12,13.9
246,11,NWE,17,4.3
247,12,ATL,8,15.2
248,13,GNB,12,12.8
249,15,MIA,4,6.9
250,16,DET,31,17.3
251,1,HOU,20,7.9
252,2,TEN,11,6.3
253,3,PHI,2,8.3
254,4,STL,24,6.6
255,5,NYG,3,14.5
256,6,CAR,5,6.6
257,7,ARI,29,8.2
258,8,SEA,23,15.2
259,9,DET,31,3.9
260,10,IND,7,2.2
261,11,JAX,9,14.5
262,13,SFO,18,18.6
263,14,NYG,3,3
264,15,PHI,2,3.6
265,1,PIT,16,4
266,2,NYJ,14,6.9
267,3,KAN,28,17.2
268,4,SDG,22,9
269,5,MIA,4,1.8
270,6,GNB,12,8.9
271,7,DEN,15,12.8
272,8,BUF,27,32.2
273,9,CHI,25,6.5
274,10,OAK,6,6.4
275,11,MIN,30,9.6
276,12,DET,31,14.9
277,13,BUF,27,13.7
278,14,TEN,11,7.2
279,15,NYJ,14,6.8
280,16,MIA,4,12.6
281,2,CAR,5,5.8
282,3,GNB,12,20.4
283,5,MIN,30,5.3
284,6,CHI,25,32
285,7,BUF,27,19.6
286,8,DAL,13,9.1
287,9,GNB,12,14.1
288,10,NYJ,14,10.1
289,11,CHI,25,18.3
290,12,NWE,17,8
291,13,ARI,29,8.6
292,15,ATL,8,10.4
293,16,MIN,30,3.7
294,1,GNB,12,20.8
295,2,CHI,25,10.4
296,3,CIN,32,8.1
297,4,TAM,1,2.7
298,5,NYG,3,7.7
299,6,CAR,5,1.7
300,8,BAL,19,6.3
301,9,PIT,16,20.3
302,11,CAR,5,22.5
303,12,MIN,30,1.4
304,14,SEA,23,14.6
305,15,DET,31,22.9
306,16,CLE,10,8.1
307,1,NYG,3,11
308,2,DEN,15,3.5
309,4,STL,24,19.3
310,5,SEA,23,9.4
311,7,ARI,29,5.1
312,8,OAK,6,2.8
313,9,KAN,28,15
314,10,SDG,22,8.8
315,11,PHI,2,9.6
316,12,SEA,23,33.2
317,13,DAL,13,3.3
318,14,GNB,12,5.7
319,15,ARI,29,10.7
320,16,STL,24,4.3
321,1,DEN,15,17
322,2,NYG,3,22.3
323,3,TAM,1,9.6
324,4,DAL,13,12
325,5,SFO,18,11
326,6,OAK,6,24
327,7,SEA,23,47.5
328,8,ARI,29,29.6
329,9,SDG,22,5.2
330,12,PHI,2,5.1
331,13,KAN,28,4.8
332,14,ARI,29,4.6
333,15,SEA,23,3
334,16,SFO,18,7.3
335,1,BAL,19,8.4
336,2,DET,31,25.7
337,3,MIN,30,28.6
338,4,GNB,12,19.3
339,5,ARI,29,2.6
340,6,DAL,13,8.8
341,7,ATL,8,2.9
342,8,TAM,1,8.2
343,10,TAM,1,5
344,11,ATL,8,3.2
345,1,ARI,29,21
346,2,PHI,2,7.6
347,3,SFO,18,6.5
348,4,TEN,11,22.4
349,6,GNB,12,9.1
350,7,IND,7,7.2
351,10,NYG,3,5.9
352,11,STL,24,26.8
353,12,DAL,13,6.2
354,13,NYG,3,13.1
355,14,PHI,2,0.4
356,2,BAL,19,9.5
357,3,STL,24,8.1
358,4,CIN,32,6.1
359,5,ATL,8,7.1
360,6,CLE,10,14.8
